ojutai,Enlightened,3,97926,2,64
corsican,Resistance,2,29071,1,19
fnaah,Enlightened,1,132524,2,48
yoko09,Enlightened,1,89892,2,111
snowie55,Enlightened,1,60237,1,27
dalekboy,Enlightened,1,49956,2,37
stylishparasite,Enlightened,1,43442,2,41
roboticunicorn,Enlightened,0,189709,4,49
nashketchum,Enlightened,0,148134,3,82
petduck,Resistance,0,141172,2,62
aceyducey,Resistance,0,127534,3,93
dukehaldane,Resistance,0,110306,2,74
poly,Resistance,0,107392,6,207
punktuality,Enlightened,0,101416,4,62
shanski,Enlightened,0,98099,3,55
lainee777,Resistance,0,86777,2,47
delta284,Enlightened,0,84596,2,51
lindorff,Resistance,0,68344,2,43
eblamak,Resistance,0,60420,4,42
kilinor74,Enlightened,0,57819,2,107
amountainman,Resistance,0,57584,3,24
tando53,Resistance,0,49855,2,38
phap,Enlightened,0,44713,2,63
toobsau,Resistance,0,40987,2,66
expanded,Resistance,0,31621,3,29
sunsetjude,Resistance,0,26008,1,53
zeital,Enlightened,0,24298,2,67
themezzerino,Resistance,0,22708,1,22
